id,nombre,nota 1,nota 2,nota final
1,Leodora Ottley,9,2,0
2,Hannis Woolfitt,9,3,0
3,Cate Andreou,9,8,0
4,Gertrud Lumley,3,4,0
5,Bernarr Delamar,8,6,0
6,Trey Boays,6,4,0
7,Willa Dikles,2,7,0
8,Imelda Camillo,9,3,0
9,Orv Quinby,8,3,0
10,Kordula Lenglet,7,9,0
11,Rita Sharphouse,4,10,0
12,Nil Havock,5,6,0
13,Adelina Gadie,8,9,0
14,August Caldron,6,1,0
15,Traver Boater,7,8,0
16,Linoel O'Sirin,7,10,0
17,Leicester Suckling,4,2,0
18,Edith Hounihan,2,3,0
19,Spenser Lucus,10,8,0
20,Jimmie Keilloh,3,7,0
21,Kathe Gabites,6,7,0
22,Dulcinea Phelan,8,8,0
23,Eada Doldon,3,1,0
24,Gard Stigell,7,10,0
25,Ethelred Pollicote,3,10,0
26,Boyd Roe,4,4,0
27,Curcio Walklate,10,2,0
28,Noak Issakov,4,1,0
29,Pyotr Critch,4,2,0
30,Orlan Clemencet,4,6,0
31,Ernaline Kenshole,1,10,0
32,Retha Wein,9,3,0
33,Angel Haselden,9,5,0
34,Adolph Boram,9,1,0
35,Isadora Perillo,2,10,0
36,Dodi Hentze,8,10,0
37,Franky Howick,5,6,0
38,Artemus Flippelli,3,2,0
39,Chiarra Hamblett,5,6,0
40,Tracee Gaughan,8,7,0
41,Bennett Buckwell,10,3,0
42,Antoni Yurygyn,5,2,0
43,Doroteya Lillecrop,6,8,0
44,Michail Staden,4,6,0
45,Kennett Lamping,2,4,0
46,Adolphus Boland,6,7,0
47,Herold Victory,8,8,0
48,Jose Versey,9,1,0
49,Christan Wemm,6,2,0
50,Merrielle Davidoff,8,10,0
51,Selestina Waszczyk,4,5,0
52,Valdemar Fardy,2,10,0
53,Elaine Elfe,5,3,0
54,Keefe McChruiter,9,1,0
55,Arlan Marder,3,2,0
56,Harv Bestman,2,3,0
57,Alida Gimeno,1,5,0
58,Joel Tulloch,7,4,0
59,Fleurette Fosberry,3,10,0
60,Aldin Wederell,4,3,0
61,Austina Buttner,10,6,0
62,Anya Sterland,7,8,0
63,Elihu Born,5,1,0
64,Niles D'eye,6,8,0
65,Prisca McGaraghan,8,10,0
66,Brien Spight,1,6,0
67,Olin Prator,10,4,0
68,Mariquilla Winspur,6,7,0
69,Briana Collacombe,9,5,0
70,Wilfrid Jamrowicz,8,6,0
71,Taryn Estevez,2,3,0
72,Lynna Lopes,2,8,0
73,Natka Tremblet,9,5,0
74,Langsdon Hachette,9,8,0
75,Dino Brumby,9,9,0
76,Basile Mazdon,7,6,0
77,Brady Sewall,5,9,0
78,Sigvard Spadoni,1,7,0
79,Karel Kezor,10,5,0
80,Davy Riccetti,3,7,0
81,Lenora Dunsmuir,1,3,0
82,Barnabe Welland,4,2,0
83,Arlina Yewman,7,10,0
84,Giacopo Kemmet,4,9,0
85,Oralle Edgehill,8,10,0
86,Carlen Yewen,10,1,0
87,Tam Spilsburie,8,7,0
88,Doe Redholes,6,7,0
89,Findlay Bartol,6,8,0
90,Mayor Caldeyroux,3,3,0
91,Fredek Hemphill,9,2,0
92,Muhammad Fitch,2,3,0
93,Beatrice Sabatier,7,4,0
94,Odille Balden,10,3,0
95,Sebastien Woodburne,3,6,0
96,Octavia Longthorn,10,2,0
97,Skyler Beddin,10,3,0
98,Meggie Maplestone,3,9,0
99,Merrel Belding,8,5,0
100,Ardys Bracher,2,2,0
